time taken in seconds: N = 700.
STL, Linked List, HEAP, 
0.0105837,0.0126731,0.00710434,
0.0113263,0.0190286,0.0105934,
0.0110166,0.00547397,0.00244693,
0.00317017,0.00475231,0.00227021,
0.00360269,0.00484402,0.00218745,
0.00210431,0.00362694,0.00190915,
0.00221935,0.00337679,0.00182043,
0.00203467,0.00223992,0.00171007,
0.00224287,0.00361058,0.00144896,
0.00207265,0.00193826,0.00131897,
0.00163016,0.00327676,0.00332593,
0.00247507,0.00260567,0.00154602,
0.00188595,0.00190704,0.00135769,
0.00173474,0.00320378,0.00158505,
0.00197633,0.00256228,0.00142874,
0.00182529,0.00207487,0.00279032,
0.00258989,0.00281172,0.00144216,
0.00175731,0.00218363,0.00128068,
0.00161388,0.0038448,0.00167245,
0.00165195,0.00219836,0.0014604,
0.00177977,0.00197944,0.00127057,
0.00245185,0.00407683,0.00143985,
0.00187176,0.00217604,0.00142554,
0.00164912,0.00177279,0.00137767,
0.00209839,0.00296303,0.00134602,
0.00185338,0.00224982,0.00146105,
0.00181847,0.00220357,0.0029435,
0.0025466,0.00230696,0.00148994,
0.00177457,0.00197901,0.00127342,
0.00158175,0.00354487,0.0020653,
0.00166134,0.00223459,0.00151448,
0.00182575,0.00204539,0.00130958,
0.00248348,0.00408292,0.00145188,
0.00197541,0.00220737,0.00145271,
0.00160784,0.00181585,0.00149788,
0.0028975,0.00220045,0.00149464,
0.00198961,0.00204959,0.00142927,
0.00166819,0.00359985,0.00285587,
0.00187151,0.00222591,0.00151046,
0.001775,0.00187119,0.00127263,
0.00165413,0.00467487,0.00133846,
0.00187666,0.00223685,0.00145138,
0.0018777,0.00178804,0.00165993,
0.00316075,0.00220689,0.00145663,
0.00187618,0.00232831,0.00136812,
0.00157047,0.00184013,0.00211179,
0.00275215,0.00193017,0.00152126,
0.00185719,0.00219915,0.00148658,
0.00160129,0.00501216,0.00232085,
0.00215312,0.0033424,0.00145059,
0.00161543,0.00188277,0.00229877,
0.0026324,0.00194784,0.00143921,
0.00194216,0.00209457,0.00143375,
0.00160099,0.00545818,0.00193211,
0.00192882,0.00226057,0.00145081,
0.00173688,0.00175322,0.00137072,
0.00210848,0.00322726,0.00131404,
0.00180394,0.00227588,0.00144234,
0.00175706,0.00187871,0.00256309,
0.00281181,0.00275681,0.00156412,
0.00178178,0.00197108,0.00126312,
0.00157386,0.0019424,0.00174703,
0.00238141,0.00226176,0.0015264,
0.00181708,0.00220491,0.0013569,
0.00167138,0.00485623,0.00190199,
0.00185714,0.00219145,0.00147468,
0.00170288,0.00177042,0.00133665,
0.00179578,0.00306541,0.00132978,
0.00193903,0.00178071,0.00129331,
0.00156062,0.00180526,0.00143787,
0.00292064,0.00498431,0.00150159,
0.00201874,0.00189072,0.001276,
